[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
330   0x00003598 0x0072b398 4   6    UPX1    utf8    ϋp\bH blocks=Greek and Coptic,Basic Latin
331   0x000035de 0x0072b3de 4   6    UPX1    utf8    \tߵph blocks=Basic Latin,NKo
332   0x0000360c 0x0072b40c 4   5    UPX1    ascii   2sCi
333   0x0000366b 0x0072b46b 4   5    UPX1    ascii   VH;x
334   0x0000368f 0x0072b48f 4   6    UPX1    utf8    lCAt
335   0x0000369c 0x0072b49c 4   5    UPX1    ascii   |I,R
336   0x000036b9 0x0072b4b9 4   5    UPX1    ascii   Bw?S
337   0x000036c3 0x0072b4c3 4   5    UPX1    ascii   t\b\eJ
338   0x0000385d 0x0072b65d 5   6    UPX1    ascii    xthP
339   0x0000387d 0x0072b67d 4   5    UPX1    ascii   O!r\b
