[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
288   0x000037c8 0x004043c8 7   8    sect_0  ascii   h\ezgR`x
289   0x0000382f 0x0040442f 4   5    sect_0  ascii   kF(k
290   0x00003877 0x00404477 4   5    sect_0  ascii   3-{\b
291   0x00003896 0x00404496 6   7    sect_0  ascii   CvwQ*r
292   0x00003921 0x00404521 4   6    sect_0  utf8    \bmnԒ blocks=Basic Latin,Cyrillic Supplement
293   0x0000395c 0x0040455c 5   8    sect_0  utf8    <Ǵۡ=\f blocks=Basic Latin,Latin Extended-B,Arabic
294   0x00003979 0x00404579 5   7    sect_0  utf8    h\eŃa6 blocks=Basic Latin,Latin Extended-A
295   0x000039c6 0x004045c6 5   6    sect_0  ascii   \3x2i
296   0x000039df 0x004045df 4   5    sect_0  ascii   %'(\n
297   0x000039f0 0x004045f0 5   6    sect_0  ascii   '[U('
298   0x000039fc 0x004045fc 6   8    sect_0  utf8    ͇e$tm( blocks=Combining Diacritical Marks,Basic Latin
299   0x00003a1b 0x0040461b 4   5    sect_0  ascii   8]0:
300   0x00003a4f 0x0040464f 4   5    sect_0  ascii   \n:f!
301   0x00003b12 0x00404712 4   5    sect_0  ascii   XR{;
302   0x00003b1b 0x0040471b 4   6    sect_0  utf8    Cxlή blocks=Basic Latin,Greek and Coptic
303   0x00003b33 0x00404733 6   7    sect_0  ascii   (.\n&rT
304   0x00003b68 0x00404768 4   5    sect_0  ascii   p3*?
305   0x00003bab 0x004047ab 5   6    sect_0  ascii   O\&[S
306   0x00003be4 0x004047e4 4   5    sect_0  ascii   _\et\a
307   0x00003bea 0x004047ea 5   6    sect_0  ascii   \aJ:'7
308   0x00003c02 0x00404802 4   5    sect_0  ascii   8RB}
309   0x00003c50 0x00404850 8   10   sect_0  utf8    XE{w¤e5k blocks=Basic Latin,Latin-1 Supplement
310   0x00003c5a 0x0040485a 4   5    sect_0  ascii   `J-*
311   0x00003c9a 0x0040489a 4   6    sect_0  utf8    9a.*
312   0x00003cda 0x004048da 4   5    sect_0  ascii   N:P4
313   0x00003cfe 0x004048fe 4   5    sect_0  ascii   IJj#
314   0x00003d4a 0x0040494a 4   5    sect_0  ascii   Y>}x
315   0x00003d5d 0x0040495d 4   5    sect_0  ascii   :GW`
316   0x00003d74 0x00404974 4   5    sect_0  ascii   2 $t
317   0x00003d95 0x00404995 4   5    sect_0  ascii   &\n<V
318   0x00003db2 0x004049b2 5   7    sect_0  utf8    WAдSm blocks=Basic Latin,Cyrillic
319   0x00003dc6 0x004049c6 4   6    sect_0  utf8    vũx\a blocks=Basic Latin,Latin Extended-A
320   0x00003e25 0x00404a25 4   6    sect_0  utf8    JGEƱ blocks=Basic Latin,Latin Extended-B
321   0x00003e40 0x00404a40 4   5    sect_0  ascii   ya%s
322   0x00003ea3 0x00404aa3 5   6    sect_0  ascii   -962U
