[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
299   0x00003bd0 0x004065d0 6   7    sect_1  ascii   l9%Bv2
300   0x00003bee 0x004065ee 5   7    sect_1  utf8    rЯHq$ blocks=Basic Latin,Cyrillic
301   0x00003c02 0x00406602 4   5    sect_1  ascii   :EU=
302   0x00003c1c 0x0040661c 5   6    sect_1  ascii   ?>\vzH
303   0x00003c7e 0x0040667e 7   9    sect_1  utf8    pSPȱMe! blocks=Basic Latin,Latin Extended-B
304   0x00003c8f 0x0040668f 5   6    sect_1  ascii   b\f}\ac
305   0x00003cac 0x004066ac 6   8    sect_1  utf8    2AͭT0= blocks=Basic Latin,Combining Diacritical Marks
306   0x00003cb4 0x004066b4 4   6    sect_1  utf8    \v&lϦ blocks=Basic Latin,Greek and Coptic
307   0x00003cdf 0x004066df 5   7    sect_1  utf8    st32ɼ blocks=Basic Latin,IPA Extensions
308   0x00003d00 0x00406700 5   6    sect_1  ascii   \bczug
309   0x00003d22 0x00406722 5   7    sect_1  utf8    *(^Z{
310   0x00003dc9 0x004067c9 5   6    sect_1  ascii   y&@[m
311   0x00003dd0 0x004067d0 4   5    sect_1  ascii   U|rk
312   0x00003dd6 0x004067d6 4   5    sect_1  ascii   ?T83
313   0x00003e3c 0x0040803c 6   7    sect_2  ascii   18evV\
314   0x00003e5b 0x0040805b 4   5    sect_2  ascii   gA)t
315   0x00003e91 0x00408091 4   8    sect_2  utf8    ̹,ۘG blocks=Combining Diacritical Marks,Basic Latin,Arabic
316   0x00003ea6 0x004080a6 4   5    sect_2  ascii   ne2L
317   0x00003eef 0x004080ef 4   5    sect_2  ascii   -2vN
318   0x00003f1d 0x0040811d 4   5    sect_2  ascii   `"-d
319   0x00003f61 0x00408161 5   7    sect_2  utf8    ?\bBˎn blocks=Basic Latin,Spacing Modifier Letters
320   0x0000400f 0x0040820f 4   5    sect_2  ascii   t1PV
321   0x0000403d 0x0040823d 4   5    sect_2  ascii   b#L"
322   0x0000497b 0x0040d57b 30  31   .rsrc   ascii   ---------(((((((>>>>>>44444...
323   0x00004a9d 0x0040d69d 27  29   .rsrc   utf8    ˓`_aa\RPXPPOOOOOOOOOOOOOOOO blocks=Spacing Modifier Letters,Basic Latin
324   0x00004b2a 0x0040d72a 4   5    .rsrc   ascii   B\f\f\f
325   0x00004b32 0x0040d732 23  24   .rsrc   ascii   `__a\RRRPPOOOOOOOOOOOOO
326   0x00004b5a 0x0040d75a 5   6    .rsrc   ascii   B\f\f\f\f
327   0x00004b8a 0x0040d78a 6   7    .rsrc   ascii   B\v\f\f\f\f
