[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
333  0x00007a6f 0x0040846f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
334  0x00007a78 0x00408478 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
335  0x00007a8d 0x0040848d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
336  0x00007a97 0x00408497 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
337  0x00007baa 0x004085aa 4   5    .text   ascii   oF f
338  0x00007c06 0x00408606 4   5    .text   ascii   oF f
339  0x00007c5e 0x0040865e 4   5    .text   ascii   oF f
340  0x00007e29 0x00408829 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
341  0x00007e35 0x00408835 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
342  0x00007e47 0x00408847 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
343  0x00007e61 0x00408861 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
344  0x00007fc5 0x004089c5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
345  0x00007fd3 0x004089d3 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
346  0x00007fe9 0x004089e9 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
347  0x00008003 0x00408a03 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
348  0x0000803b 0x00408a3b 4   5    .text   ascii   oV f
349  0x00008040 0x00408a40 4   5    .text   ascii   o^0f
350  0x00008058 0x00408a58 4   5    .text   ascii   of@f
351  0x0000805d 0x00408a5d 4   5    .text   ascii   onPf
352  0x00008062 0x00408a62 4   5    .text   ascii   ov`f
353  0x00008067 0x00408a67 4   5    .text   ascii   o~pf
354  0x000080d4 0x00408ad4 5   6    .text   ascii   \aFGIu
355  0x000080e0 0x00408ae0 4   6    .text   utf8    X^_Í blocks=Basic Latin,Latin-1 Supplement
356  0x00008107 0x00408b07 4   5    .text   ascii   FGIu
357  0x0000812f 0x00408b2f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
358  0x0000814c 0x00408b4c 4   5    .text   ascii   L$\fW
359  0x0000817f 0x00408b7f 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
360  0x000081b6 0x00408bb6 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
361  0x00008216 0x00408c16 4   5    .text   ascii   ineI
362  0x0000821d 0x00408c1d 5   6    .text   ascii   5ntel
363  0x0000822d 0x00408c2d 6   7    .text   ascii   5Genu\v
364  0x00008262 0x00408c62 4   5    .text   ascii   t#=`
365  0x0000827e 0x00408c7e 4   5    .text   ascii   t\a=p
366  0x000082a1 0x00408ca1 8   10   .text   utf8    \a|5j\a3ɍu blocks=Basic Latin,Latin Extended-B
367  0x00008366 0x00408d66 4   5    .text   ascii   \at0f
368  0x0000861f 0x0040901f 4   6    .rdata  utf8    v2ŭv blocks=Basic Latin,Latin Extended-A
369  0x0000885f 0x0040925f 5   6    .rdata  ascii   T`00P
370  0x0000886c 0x0040926c 4   5    .rdata  ascii   V++}
371  0x000088cc 0x004092cc 12  13   .rdata  ascii   L&&jl66Z~??A
372  0x000088df 0x004092df 6   7    .rdata  ascii   Oh44\Q
373  0x000088f7 0x004092f7 6   7    .rdata  ascii   sb11S*
374  0x00008907 0x00409307 5   6    .rdata  ascii   RF##e
375  0x00008921 0x00409321 4   5    .rdata  ascii   \a\a\t$
376  0x00008933 0x00409333 5   6    .rdata  ascii   &N''i
377  0x00008948 0x00409348 5   6    .rdata  ascii   X,,t4
378  0x0000894f 0x0040934f 5   6    .rdata  ascii   .6\e\e-
379  0x00008964 0x00409364 4   5    .rdata  ascii   v;;M
