Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3328 0x0005b5de 0x00515fde 6   7            ascii   }\b9;t>
3329 0x0005b614 0x00516014 5   6            ascii   t\vVWP
3330 0x0005b639 0x00516039 5   6            ascii   t\nj V
3331 0x0005b660 0x00516060 4   5            ascii   \rT_O
3332 0x0005b66f 0x0051606f 5   7            utf8    3#T_O
3333 0x0005b678 0x00516078 5   7            utf8    ]áP_O blocks=Basic Latin,Latin-1 Supplement
3334 0x0005b698 0x00516098 4   5            ascii   =P_O
3335 0x0005b6b2 0x005160b2 4   5            ascii   YYh\b
3336 0x0005b6c9 0x005160c9 4   5            ascii   =L_O
3337 0x0005b6dd 0x005160dd 4   6            utf8    ֡L_O blocks=Hebrew,Basic Latin
3338 0x0005b7e2 0x005161e2 4   5            ascii   H(Qj
3339 0x0005b849 0x00516249 4   5            ascii   =u_O
3340 0x0005b8b4 0x005162b4 4   5            ascii   hP_O
3341 0x0005b8bf 0x005162bf 4   5            ascii   %P_O
3342 0x0005b953 0x00516353 4   5            ascii   ^_[]
3343 0x0005b995 0x00516395 4   5            ascii   YY^]
3344 0x0005b9ca 0x005163ca 4   5            ascii   0j\fP
3345 0x0005b9fe 0x005163fe 4   6            utf8    \vh\bt
3346 0x0005ba46 0x00516446 4   7            utf8    t\tP軤 blocks=Basic Latin,CJK Unified Ideographs
3347 0x0005bbea 0x005165ea 4   6            utf8    \n3\b]
3348 0x0005bce4 0x005166e4 4   6            utf8    \n3\b]
3349 0x0005bd30 0x00516730 4   5            ascii   5p`O
3350 0x0005bd57 0x00516757 4   5            ascii   \rx`O
3351 0x0005bd70 0x00516770 4   5            ascii   \r|`O
3352 0x0005bdd0 0x005167d0 4   5            ascii   h0YK
3353 0x0005be00 0x00516800 4   5            ascii   7j$V
3354 0x0005be30 0x00516830 7   8            ascii   YYt\nj$V
3355 0x0005be99 0x00516899 4   6            utf8    áDaO blocks=Latin-1 Supplement,Basic Latin
3356 0x0005bf27 0x00516927 4   5            ascii   9C(t
3357 0x0005bf92 0x00516992 5   6            ascii   9F\b~x
3358 0x0005bfca 0x005169ca 5   6            ascii   ;F\b}x
3359 0x0005bfd5 0x005169d5 5   6            ascii   9C(tV
3360 0x0005bfea 0x005169ea 5   6            ascii   v\bYYP
3361 0x0005c015 0x00516a15 4   5            ascii   9C(t
3362 0x0005c055 0x00516a55 4   5            ascii   9A\bt
3363 0x0005c06a 0x00516a6a 5   7            utf8    C(3\vM
3364 0x0005c1ee 0x00516bee 4   5            ascii   u\r;N
3365 0x0005c1f8 0x00516bf8 4   5            ascii   ;F\b|
3366 0x0005c27f 0x00516c7f 4   6            utf8    ʚ;SV blocks=IPA Extensions,Basic Latin
3367 0x0005c2c0 0x00516cc0 6   7            ascii   Q\b;V\b}
3368 0x0005c2ee 0x00516cee 4   5            ascii   Q\b9Y
3369 0x0005c2f9 0x00516cf9 4   5            ascii   r\n\vA
3370 0x0005c2fe 0x00516cfe 5   6            ascii   u\r9Y\b
3371 0x0005c30b 0x00516d0b 4   5            ascii   Y\b_^
3372 0x0005c37b 0x00516d7b 4   7            utf8    }ĉMȅ blocks=Basic Latin,Latin Extended-A,Latin Extended-B
3373 0x0005c3b8 0x00516db8 4   5            ascii   Yj\vY
3374 0x0005c3c4 0x00516dc4 8   12           utf8    }čuЋMȃ~\b blocks=Basic Latin,Latin Extended-A,Cyrillic,Latin Extended-B
3375 0x0005c414 0x00516e14 4   8            utf8    넋Mȃ! blocks=Hangul Syllables,Basic Latin,Latin Extended-B
3376 0x0005c440 0x00516e40 5   6            ascii   D2\ftF
3377 0x0005c4b9 0x00516eb9 4   5            ascii   E\bPj
3378 0x0005c4d9 0x00516ed9 5   6            ascii   M\f+M\b
3379 0x0005c533 0x00516f33 5   6            ascii   M\bQRP
3380 0x0005c55d 0x00516f5d 6   8            utf8    Wj\nY3\t
3381 0x0005c5ab 0x00516fab 5   7            utf8    HL:\fC
3382 0x0005c5bb 0x00516fbb 4   5            ascii   _^[]
3383 0x0005c5c8 0x00516fc8 4   5            ascii   M\bV3
3384 0x0005c5cd 0x00516fcd 4   5            ascii   9p\bt
3385 0x0005c5f6 0x00516ff6 4   5            ascii   M\fQV
3386 0x0005c660 0x00517060 4   5            ascii   M\bQh
3387 0x0005c682 0x00517082 5   7            utf8    ]ál`O blocks=Basic Latin,Latin-1 Supplement
3388 0x0005c7b5 0x005171b5 4   5            ascii   hPVK
3389 0x0005c801 0x00517201 4   6            utf8    \nrыM blocks=Basic Latin,Cyrillic
3390 0x0005c87a 0x0051727a 4   6            utf8    EċE\f blocks=Basic Latin,Latin Extended-A
3391 0x0005c8c0 0x005172c0 5   8            utf8    E؉ỦE blocks=Basic Latin,Arabic,Combining Diacritical Marks
3392 0x0005c921 0x00517321 5   6            ascii   ;:\at[
3393 0x0005c977 0x00517377 5   8            utf8    M؉MЋM blocks=Basic Latin,Arabic,Cyrillic
3394 0x0005c994 0x00517394 8   13           utf8    }؉}ЉM\v}Ј blocks=Basic Latin,Arabic,Cyrillic
3395 0x0005ca28 0x00517428 4   7            utf8    M\bP萔 blocks=Basic Latin,CJK Unified Ideographs
3396 0x0005caa4 0x005174a4 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3397 0x0005cab1 0x005174b1 4   5            ascii   uCj\b
3398 0x0005cb3b 0x0051753b 5   6            ascii   RVQSW
3399 0x0005cbc8 0x005175c8 5   6            ascii   Pho$L
3400 0x0005cbce 0x005175ce 4   5            ascii   h`$L
3401 0x0005cbee 0x005175ee 4   5            ascii   uC8C
3402 0x0005cd41 0x00517741 4   6            utf8    EȀ<0 blocks=Basic Latin,Latin Extended-B
3403 0x0005cd60 0x00517760 4   6            utf8    EȀ<0 blocks=Basic Latin,Latin Extended-B
3404 0x0005cdc0 0x005177c0 4   6            utf8    EȀ<0 blocks=Basic Latin,Latin Extended-B
3405 0x0005cdea 0x005177ea 5   6            ascii   :\f0u&
3406 0x0005ceaa 0x005178aa 4   5            ascii   uN8C
3407 0x0005cf5d 0x0051795d 4   5            ascii   \a0G@
3408 0x0005cfd5 0x005179d5 4   5            ascii   :\bt\b
3409 0x0005d065 0x00517a65 4   5            ascii   u98C
3410 0x0005d0f7 0x00517af7 4   5            ascii   u=8C
3411 0x0005d22f 0x00517c2f 4   5            ascii   u?8C
3412 0x0005d290 0x00517c90 4   5            ascii   u]8C
3413 0x0005d2b7 0x00517cb7 4   5            ascii   u28C
3414 0x0005d492 0x00517e92 5   6            ascii   :\f0u&
3415 0x0005d560 0x00517f60 4   5            ascii   uN8C
3416 0x0005d604 0x00518004 4   5            ascii   \a0G@
3417 0x0005d6c9 0x005180c9 4   5            ascii   u98C
3418 0x0005d75d 0x0051815d 4   5            ascii   u=8C
3419 0x0005d83f 0x0051823f 4   5            ascii   hp$L
3420 0x0005d866 0x00518266 4   5            ascii   u>8C
3421 0x0005d923 0x00518323 4   5            ascii   uI8C
3422 0x0005d970 0x00518370 5   6            ascii   u\nj\b^
3423 0x0005da0c 0x0051840c 5   6            ascii   0t\r;E
3424 0x0005dafa 0x005184fa 5   6            ascii   :\f:u1
3425 0x0005db97 0x00518597 5   6            ascii   9_\fw;
3426 0x0005dbd0 0x005185d0 6   7            ascii   G\f9w\fr
3427 0x0005dc46 0x00518646 7   8            ascii   u\f;5L_O
3428 0x0005dc4e 0x0051864e 4   5            ascii   u.h\b
3429 0x0005dc67 0x00518667 5   6            ascii   u\bj?P
3430 0x0005dd78 0x00518778 4   5            ascii   uhj\b
3431 0x0005dd89 0x00518789 4   5            ascii   t\v!^
3432 0x0005de9b 0x0051889b 4   5            ascii   u5j\b
3433 0x0005deac 0x005188ac 4   5            ascii   t\v!^
3434 0x0005def0 0x005188f0 4   5            ascii   u\bSW
3435 0x0005df0a 0x0051890a 5   6            ascii   ]\fWSV
3436 0x0005df8a 0x0051898a 4   5            ascii   7_^t
3437 0x0005dfaf 0x005189af 4   5            ascii   QQVW
3438 0x0005e025 0x00518a25 4   6            utf8    E\vE$
3439 0x0005e0bb 0x00518abb 4   6            utf8    E\vM\f
3440 0x0005e0ee 0x00518aee 4   6            utf8    E\vE$
3441 0x0005e16f 0x00518b6f 4   7            utf8    ދEĉ0 blocks=Thaana,Basic Latin,Latin Extended-A
3442 0x0005e17b 0x00518b7b 4   6            utf8    E\vM\f
3443 0x0005e1ae 0x00518bae 4   6            utf8    E\vE$
3444 0x0005e22b 0x00518c2b 4   6            utf8    E\vM\f
3445 0x0005e25e 0x00518c5e 4   6            utf8    E\vE$
3446 0x0005e2db 0x00518cdb 4   6            utf8    E\vM\f
3447 0x0005e32d 0x00518d2d 4   6            utf8    ʚ;RP blocks=IPA Extensions,Basic Latin
3448 0x0005e427 0x00518e27 4   6            utf8    ʚ;RP blocks=IPA Extensions,Basic Latin
3449 0x0005e5b0 0x00518fb0 4   6            utf8    E\vE$
3450 0x0005e632 0x00519032 4   6            utf8    E\vM\f
3451 0x0005e665 0x00519065 4   6            utf8    E\vE$
3452 0x0005e6e7 0x005190e7 4   6            utf8    E\vM\f
3453 0x0005e8e6 0x005192e6 4   5            ascii   @_^]
3454 0x0005e8f5 0x005192f5 4   5            ascii   E\bQQ
3455 0x0005e940 0x00519340 6   7            ascii   9E$WWV
3456 0x0005e976 0x00519376 7   9            utf8    tS;ӍJ\b\e blocks=Basic Latin,Cyrillic
3457 0x0005ea58 0x00519458 5   7            utf8    #MJ\b=
3458 0x0005ea9f 0x0051949f 4   5            ascii   tFVS
3459 0x0005eab9 0x005194b9 6   7            ascii   t,WW9}
3460 0x0005eac2 0x005194c2 5   6            ascii   WWVSW
3461 0x0005ebc2 0x005195c2 4   5            ascii   h0%L
3462 0x0005ebd9 0x005195d9 4   5            ascii   h@%L
3463 0x0005ebf0 0x005195f0 4   5            ascii   hT%L
3464 0x0005ec07 0x00519607 4   5            ascii   hh%L
3465 0x0005eca8 0x005196a8 4   5            ascii   h\f&L
3466 0x0005ecbf 0x005196bf 4   5            ascii   h(&L
3467 0x0005ecd6 0x005196d6 4   5            ascii   hH&L
3468 0x0005eced 0x005196ed 4   5            ascii   hd&L
3469 0x0005ed04 0x00519704 4   5            ascii   hx&L
3470 0x0005eda5 0x005197a5 4   5            ascii   h,'L
3471 0x0005edbc 0x005197bc 4   5            ascii   hH'L
3472 0x0005edd3 0x005197d3 4   5            ascii   hd'L
3473 0x0005edea 0x005197ea 4   5            ascii   hx'L
3474 0x0005ee8b 0x0051988b 4   5            ascii   h$(L
3475 0x0005eea2 0x005198a2 4   5            ascii   h4(L
3476 0x0005eeb9 0x005198b9 4   5            ascii   hD(L
3477 0x0005eede 0x005198de 4   5            ascii   5@aO
3478 0x0005f02d 0x00519a2d 4   5            ascii   5\baO
3479 0x0005f04a 0x00519a4a 4   5            ascii   5\faO
3480 0x0005f08c 0x00519a8c 4   5            ascii   5(aO
3481 0x0005f098 0x00519a98 4   5            ascii   u\bt\v
3482 0x0005f0d9 0x00519ad9 4   5            ascii   5,aO
3483 0x0005f130 0x00519b30 4   5            ascii   5<aO
3484 0x0005f14f 0x00519b4f 4   5            ascii   5HaO
3485 0x0005f1c2 0x00519bc2 4   5            ascii   58aO
3486 0x0005f1c8 0x00519bc8 5   6            ascii   u\f35p
3487 0x0005f1e7 0x00519be7 4   5            ascii   5LaO
3488 0x0005f20c 0x00519c0c 4   5            ascii   5DaO
3489 0x0005f24f 0x00519c4f 4   5            ascii   54aO
3490 0x0005f26e 0x00519c6e 4   5            ascii   50aO
3491 0x0005f2fc 0x00519cfc 4   6            utf8    áDaO blocks=Latin-1 Supplement,Basic Latin
3492 0x0005f344 0x00519d44 4   5            ascii   E\bSV
3493 0x0005f62c 0x0051a02c 7   8            ascii   \ff;U\ft\v
3494 0x0005f65a 0x0051a05a 4   6            utf8    EċE\f blocks=Basic Latin,Latin Extended-A
3495 0x0005f6a0 0x0051a0a0 5   8            utf8    E؉ỦE blocks=Basic Latin,Arabic,Combining Diacritical Marks
3496 0x0005f701 0x0051a101 5   6            ascii   ;:\at_
3497 0x0005f75b 0x0051a15b 5   8            utf8    M؉MЋM blocks=Basic Latin,Arabic,Cyrillic
3498 0x0005f778 0x0051a178 8   13           utf8    }؉}ЉM\v}Ј blocks=Basic Latin,Arabic,Cyrillic
3499 0x0005f7f4 0x0051a1f4 4   6            utf8    EċE\f blocks=Basic Latin,Latin Extended-A
3500 0x0005f83a 0x0051a23a 5   8            utf8    E؉ỦE blocks=Basic Latin,Arabic,Combining Diacritical Marks
3501 0x0005f89b 0x0051a29b 5   6            ascii   ;:\at_
3502 0x0005f8f5 0x0051a2f5 5   8            utf8    M؉MЋM blocks=Basic Latin,Arabic,Cyrillic
3503 0x0005f912 0x0051a312 8   13           utf8    }؉}ЉM\v}Ј blocks=Basic Latin,Arabic,Cyrillic
3504 0x0005f985 0x0051a385 5   7            utf8    E\b3ۋ} blocks=Basic Latin,Arabic
3505 0x0005f992 0x0051a392 4   6            utf8    EċE\f blocks=Basic Latin,Latin Extended-A
3506 0x0005f9cd 0x0051a3cd 6   9            utf8    X3҉E\vE blocks=Basic Latin,Cyrillic
3507 0x0005fa3c 0x0051a43c 7   8            ascii   _f;\at^f
3508 0x0005fa6c 0x0051a46c 4   5            ascii   _f;A
3509 0x0005fa96 0x0051a496 5   8            utf8    M؉MЋM blocks=Basic Latin,Arabic,Cyrillic
3510 0x0005fab3 0x0051a4b3 8   13           utf8    }؉}ЉM\v}Ј blocks=Basic Latin,Arabic,Cyrillic
3511 0x0005fb28 0x0051a528 5   7            utf8    E\b3ۋ} blocks=Basic Latin,Arabic
3512 0x0005fb35 0x0051a535 4   6            utf8    EċE\f blocks=Basic Latin,Latin Extended-A
3513 0x0005fb70 0x0051a570 6   9            utf8    X3҉E\vE blocks=Basic Latin,Cyrillic
3514 0x0005fbdf 0x0051a5df 7   8            ascii   _f;\at^f
3515 0x0005fc0f 0x0051a60f 4   5            ascii   _f;A
3516 0x0005fc39 0x0051a639 5   8            utf8    M؉MЋM blocks=Basic Latin,Arabic,Cyrillic
3517 0x0005fc56 0x0051a656 8   13           utf8    }؉}ЉM\v}Ј blocks=Basic Latin,Arabic,Cyrillic
3518 0x0005fcd8 0x0051a6d8 4   5            ascii   _,Sj
3519 0x0005fcf5 0x0051a6f5 4   5            ascii   F Sj
3520 0x0005fd12 0x0051a712 4   5            ascii   F$Sj
3521 0x0005fd49 0x0051a749 4   5            ascii   _^[]
3522 0x0005fd60 0x0051a760 5   6            ascii   SVWj\v
3523 0x0005fdf1 0x0051a7f1 4   5            ascii   M\fSW
3524 0x0005fe73 0x0051a873 4   5            ascii   F@Yf
3525 0x0005fe96 0x0051a896 4   5            ascii   SVWP
3526 0x0005fea1 0x0051a8a1 4   5            ascii   Yj\vY
3527 0x0005ff0f 0x0051a90f 4   5            ascii   ;E\fu
3528 0x0005ff39 0x0051a939 6   7            ascii   E\f+E\bV
3529 0x0005ffec 0x0051a9ec 4   5            ascii   ]\bFj
3530 0x00060252 0x0051ac52 4   5            ascii   5dcO
3531 0x000602ac 0x0051acac 4   5            ascii   =dcO
3532 0x00060429 0x0051ae29 4   5            ascii   5hcO
3533 0x00060483 0x0051ae83 4   5            ascii   =hcO
3534 0x00060563 0x0051af63 4   5            ascii   5lcO
3535 0x000605bd 0x0051afbd 4   5            ascii   =lcO
3536 0x0006069d 0x0051b09d 4   5            ascii   5pcO
3537 0x000606f7 0x0051b0f7 4   5            ascii   =pcO
3538 0x00060874 0x0051b274 4   5            ascii   5xcO
3539 0x000608ce 0x0051b2ce 4   5            ascii   =xcO
3540 0x00060911 0x0051b311 4   5            ascii   5tcO
3541 0x0006096b 0x0051b36b 4   5            ascii   =tcO
3542 0x00060a4b 0x0051b44b 4   5            ascii   5XcO
3543 0x00060aa5 0x0051b4a5 4   5            ascii   =XcO
3544 0x00060b85 0x0051b585 4   5            ascii   5\cO
3545 0x00060bdf 0x0051b5df 4   5            ascii   =\cO
3546 0x00060cbf 0x0051b6bf 4   5            ascii   5`cO
3547 0x00060d19 0x0051b719 4   5            ascii   =`cO
3548 0x00060df9 0x0051b7f9 4   5            ascii   5|cO
3549 0x00060e53 0x0051b853 4   5            ascii   =|cO
3550 0x0006105d 0x0051ba5d 4   5            ascii   Yj\vY
3551 0x00061096 0x0051ba96 4   5            ascii   Yj\vY
3552 0x000611b5 0x0051bbb5 6   7            ascii   }\b9;tC
3553 0x000611d3 0x0051bbd3 5   6            ascii   f9\at\b
3554 0x000611f0 0x0051bbf0 5   6            ascii   t\vVWP
3555 0x0006120b 0x0051bc0b 4   5            ascii   hPVK
3556 0x0006122b 0x0051bc2b 4   5            ascii   ;u\bt
3557 0x00061290 0x0051bc90 5   6            ascii   t\nj4V
3558 0x000612f6 0x0051bcf6 5   6            ascii   t\njDV
3559 0x00061324 0x0051bd24 5   6            ascii   t\njXV
3560 0x00061352 0x0051bd52 5   6            ascii   t\njXV
3561 0x00061375 0x0051bd75 5   6            ascii   t\nj\bV
3562 0x000613ff 0x0051bdff 5   6            ascii   t\njDV
3563 0x0006142d 0x0051be2d 5   6            ascii   t\njDV
3564 0x0006144f 0x0051be4f 5   6            ascii   t\nj\fV
3565 0x00061471 0x0051be71 5   6            ascii   t\nj\fV
3566 0x00061497 0x0051be97 4   5            ascii   @PVW
3567 0x000616f4 0x0051c0f4 4   6            utf8    M\fME
3568 0x0006171a 0x0051c11a 4   6            utf8    M\fMe
3569 0x00061789 0x0051c189 4   5            ascii   <;0u
3570 0x000617a8 0x0051c1a8 4   5            ascii   j.Xf
3571 0x000618da 0x0051c2da 6   8            utf8    s!R+ٍM blocks=Basic Latin,Arabic
3572 0x00061981 0x0051c381 6   8            utf8    E؋]\bWP blocks=Basic Latin,Arabic
3573 0x000619c9 0x0051c3c9 6   8            utf8    E؋]\bWP blocks=Basic Latin,Arabic
3574 0x00061a08 0x0051c408 4   5            ascii   xPRQ
3575 0x00061a2a 0x0051c42a 4   5            ascii   PQVS
3576 0x00061ab8 0x0051c4b8 4   5            ascii   <;0u
3577 0x00061ad7 0x0051c4d7 4   5            ascii   j.Xf
3578 0x00061c09 0x0051c609 6   8            utf8    s!R+ٍM blocks=Basic Latin,Arabic
3579 0x00061cb0 0x0051c6b0 6   8            utf8    E؋]\bWP blocks=Basic Latin,Arabic
3580 0x00061cf8 0x0051c6f8 6   8            utf8    E؋]\bWP blocks=Basic Latin,Arabic
3581 0x00061d37 0x0051c737 4   5            ascii   xPRQ
3582 0x00061d59 0x0051c759 4   5            ascii   PQVS
3583 0x00061da4 0x0051c7a4 8   9            ascii   tC97u?j4
3584 0x00061e0a 0x0051c80a 8   9            ascii   tC97u?j4
3585 0x00061e65 0x0051c865 6   8            utf8    }\b3ۋE\f blocks=Basic Latin,Arabic
3586 0x00061e6d 0x0051c86d 4   7            utf8    Eԉ]Ѕ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
3587 0x00061f0b 0x0051c90b 6   8            utf8    }\b3ۋE\f blocks=Basic Latin,Arabic
3588 0x00061f13 0x0051c913 4   7            utf8    Eԉ]Ѕ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
3589 0x00061fb1 0x0051c9b1 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3590 0x00061fbe 0x0051c9be 4   5            ascii   uKjD
3591 0x00062021 0x0051ca21 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3592 0x0006202e 0x0051ca2e 4   5            ascii   uCj\b
3593 0x00062089 0x0051ca89 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3594 0x00062096 0x0051ca96 4   5            ascii   uCj\b
3595 0x000620f1 0x0051caf1 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3596 0x000620fe 0x0051cafe 4   5            ascii   uCj\b
3597 0x00062159 0x0051cb59 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3598 0x00062166 0x0051cb66 4   5            ascii   uCj\b
3599 0x000621c1 0x0051cbc1 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3600 0x000621ce 0x0051cbce 4   5            ascii   uCj\b
3601 0x00062229 0x0051cc29 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3602 0x00062236 0x0051cc36 4   5            ascii   uCj\b
3603 0x00062291 0x0051cc91 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3604 0x0006229e 0x0051cc9e 4   5            ascii   u_jX
3605 0x00062315 0x0051cd15 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3606 0x00062322 0x0051cd22 4   5            ascii   u`jX
3607 0x0006239a 0x0051cd9a 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3608 0x000623a7 0x0051cda7 4   5            ascii   u_jX
3609 0x0006241e 0x0051ce1e 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3610 0x0006242b 0x0051ce2b 4   5            ascii   u`jX
3611 0x000624a3 0x0051cea3 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3612 0x000624b0 0x0051ceb0 4   5            ascii   uCj\b
3613 0x0006250b 0x0051cf0b 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3614 0x00062518 0x0051cf18 4   5            ascii   uCj\b
3615 0x00062573 0x0051cf73 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3616 0x00062580 0x0051cf80 4   5            ascii   uCj\b
3617 0x000625db 0x0051cfdb 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3618 0x000625e8 0x0051cfe8 4   5            ascii   uCj\b
3619 0x00062643 0x0051d043 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3620 0x000626be 0x0051d0be 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3621 0x00062744 0x0051d144 8   9            ascii   tI97uEjD
3622 0x000627b0 0x0051d1b0 8   9            ascii   tI97uEjD
3623 0x00062811 0x0051d211 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3624 0x0006281e 0x0051d21e 4   5            ascii   uOj\f
3625 0x00062885 0x0051d285 5   7            utf8    }\b3ۉ] blocks=Basic Latin,Arabic
3626 0x00062892 0x0051d292 4   5            ascii   uOj\f
3627 0x00062961 0x0051d361 5   6            ascii   RVQSW
3628 0x000629ee 0x0051d3ee 5   6            ascii   Phw0L
3629 0x000629f4 0x0051d3f4 4   5            ascii   hh0L
3630 0x00062a14 0x0051d414 4   5            ascii   uM8C
3631 0x00062c34 0x0051d634 5   6            ascii   :\f0u&
3632 0x00062cf7 0x0051d6f7 4   5            ascii   uJ8C
3633 0x00062dab 0x0051d7ab 4   5            ascii   \a0G@
3634 0x00062e29 0x0051d829 4   5            ascii   :\bt\b
3635 0x00062ec6 0x0051d8c6 4   5            ascii   u=8C
3636 0x00062f61 0x0051d961 4   5            ascii   u=8C
3637 0x00063007 0x0051da07 5   6            ascii   RVQSW
3638 0x000630ba 0x0051daba 4   5            ascii   uM8C
3639 0x000632da 0x0051dcda 5   6            ascii   :\f0u&
3640 0x0006339d 0x0051dd9d 4   5            ascii   uJ8C
3641 0x00063451 0x0051de51 4   5            ascii   \a0G@
3642 0x000634cf 0x0051decf 4   5            ascii   :\bt\b
3643 0x0006356c 0x0051df6c 4   5            ascii   u=8C
3644 0x00063607 0x0051e007 4   5            ascii   u=8C
3645 0x00063745 0x0051e145 4   5            ascii   uC8C
3646 0x000637b3 0x0051e1b3 4   5            ascii   uc8C
3647 0x000637dc 0x0051e1dc 4   5            ascii   u68C
3648 0x000639f9 0x0051e3f9 5   6            ascii   :\f0u,
3649 0x00063ae2 0x0051e4e2 4   5            ascii   u\8C
3650 0x00063ba5 0x0051e5a5 4   5            ascii   \a0G@
3651 0x00063c7a 0x0051e67a 4   5            ascii   u=8C
3652 0x00063d1d 0x0051e71d 4   5            ascii   u=8C
3653 0x00063d9c 0x0051e79c 4   10           utf16le Kèâ謀 blocks=Basic Latin,Latin-1 Supplement,CJK Unified Ideographs
