[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
325  0x000067bc 0x004067bc 19  20   .rdata  ascii   WideCharToMultiByte
326  0x000067d2 0x004067d2 21  22   .rdata  ascii   GetEnvironmentStrings
327  0x000067ea 0x004067ea 22  23   .rdata  ascii   GetEnvironmentStringsW
328  0x00006804 0x00406804 14  15   .rdata  ascii   SetHandleCount
329  0x00006816 0x00406816 12  13   .rdata  ascii   GetStdHandle
330  0x00006826 0x00406826 11  12   .rdata  ascii   GetFileType
331  0x00006834 0x00406834 23  24   .rdata  ascii   GetEnvironmentVariableA
332  0x0000684e 0x0040684e 11  12   .rdata  ascii   HeapDestroy
333  0x0000685c 0x0040685c 10  11   .rdata  ascii   HeapCreate
334  0x0000686a 0x0040686a 11  12   .rdata  ascii   VirtualFree
335  0x00006878 0x00406878 8   9    .rdata  ascii   HeapFree
336  0x00006884 0x00406884 9   10   .rdata  ascii   RtlUnwind
337  0x00006890 0x00406890 19  20   .rdata  ascii   MultiByteToWideChar
338  0x000068a6 0x004068a6 14  15   .rdata  ascii   GetStringTypeA
339  0x000068b8 0x004068b8 14  15   .rdata  ascii   GetStringTypeW
340  0x000068ca 0x004068ca 12  13   .rdata  ascii   GetLastError
341  0x000068da 0x004068da 9   10   .rdata  ascii   HeapAlloc
342  0x000068e6 0x004068e6 9   10   .rdata  ascii   GetCPInfo
343  0x000068f2 0x004068f2 6   7    .rdata  ascii   GetACP
344  0x000068fc 0x004068fc 8   9    .rdata  ascii   GetOEMCP
345  0x00006908 0x00406908 12  13   .rdata  ascii   VirtualAlloc
346  0x00006918 0x00406918 11  12   .rdata  ascii   HeapReAlloc
347  0x00006926 0x00406926 12  13   .rdata  ascii   SetStdHandle
348  0x00006936 0x00406936 12  13   .rdata  ascii   LCMapStringA
349  0x00006946 0x00406946 12  13   .rdata  ascii   LCMapStringW
350  0x00006956 0x00406956 16  17   .rdata  ascii   FlushFileBuffers
351  0x00007030 0x00407030 7   8    .data   ascii   WinExec
352  0x00007038 0x00407038 9   10   .data   ascii    /c del "
353  0x00007044 0x00407044 16  17   .data   ascii   GetModuleHandleA
354  0x00007058 0x00407058 7   8    .data   ascii   ComSpec
355  0x00007060 0x00407060 12  13   .data   ascii   kernel32.dll
356  0x00007070 0x00407070 23  24   .data   ascii   GetEnvironmentVariableA
357  0x00007088 0x00407088 10  11   .data   ascii   C:\sys.bat
358  0x00007094 0x00407094 5   6    .data   ascii   57344
359  0x000070a0 0x004070a0 6   7    .data   ascii   206336
360  0x000070ac 0x004070ac 5   6    .data   ascii   %s\%s
361  0x000070b4 0x004070b4 6   7    .data   ascii   0s.3xe
362  0x000070bc 0x004070bc 8   9    .data   ascii   0e2p.e6e
